category	field_id	ukb_id	desc_full	desc_short
Body size measures	f.48_qn	48	Waist circumference	Waist circumference
Body size measures	f.49_qn	49	Hip circumference	Hip circumference
Body size measures	f.waist_hip_qn	NA	Waist-to-hip ratio	Waist-to-hip ratio
Body size measures	f.50_qn	50	Standing height	Standing height
Body size measures	f.20015_qn	20015	Sitting height	Sitting height
Body size measures	f.20015_rel_qn	NA	Sitting height, relative	Sitting height, rel.
Body size measures	f.leglength_qn	NA	Leg length	Leg length
Body size measures	f.leglength_rel_qn	NA	Leg length, relative	Leg length, rel.
Body size measures	f.21001_qn	21001	Body mass index (BMI)	BMI
Body size measures	f.21002_qn	21002	Weight	Weight
Impedance measures	f.23099_qn	23099	Body fat percentage	Body fat %
Impedance measures	f.23100_qn	23100	Whole body fat mass	Whole body fat mass
Impedance measures	f.23101_qn	23101	Whole body fat-free mass	Whole body fat-free mass
Impedance measures	f.23102_qn	23102	Whole body water mass	Whole body water mass
Impedance measures	f.23105_qn	23105	Basal metabolic rate	Basal metabolic rate
Impedance measures	f.23115_qn	23115	Leg fat percentage	Leg fat %
Impedance measures	f.23116_qn	23116	Leg fat mass	Leg fat mass
Impedance measures	f.23117_qn	23117	Leg fat-free mass	Leg fat-free mass
Impedance measures	f.23118_qn	23118	Leg predicted mass	Leg predicted mass
Impedance measures	f.23123_qn	23123	Arm fat percentage	Arm fat %
Impedance measures	f.23124_qn	23124	Arm fat mass	Arm fat mass
Impedance measures	f.23125_qn	23125	Arm fat-free mass	Arm fat-free mass
Impedance measures	f.23126_qn	23126	Arm predicted mass	Arm predicted mass
Impedance measures	f.23127_qn	23127	Trunk fat percentage	Trunk fat %
Impedance measures	f.23128_qn	23128	Trunk fat mass	Trunk fat mass
Impedance measures	f.23129_qn	23129	Trunk fat-free mass	Trunk fat-free mass
Impedance measures	f.23130_qn	23130	Trunk predicted mass	Trunk predicted mass
Blood pressure	f.102_qn	102	Pulse rate	Pulse rate
