category	field_id	desc_full	desc_short
Simulated traits	f.sim_100_rg_nt_0.3_qn	Simulation: 100 loci, regular arch., no transf., alpha = 0, h2=0.3	Sim: 100/rg/nt/a=0/.3
Simulated traits	f.sim_100_rg_nt_0.6_qn	Simulation: 100 loci, regular arch., no transf., alpha = 0, h2=0.6	Sim: 100/rg/nt/a=0/.6
Simulated traits	f.sim_100_rg_nt_a5_0.3_qn	Simulation: 100 loci, regular arch., no transf., alpha = -0.5, h2=0.3	Sim: 100/rg/nt/a=-.5/.3
Simulated traits	f.sim_100_rg_nt_a5_0.6_qn	Simulation: 100 loci, regular arch., no transf., alpha = -0.5, h2=0.6	Sim: 100/rg/nt/a=-.5/.6
Simulated traits	f.sim_100_rg_sgscbn_0.3_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 100/rg/sgscbn/a=0/.3
Simulated traits	f.sim_100_rg_sgscbn_0.6_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 100/rg/sgscbn/a=0/.6
Simulated traits	f.sim_100_rg_sgscbn_a5_0.3_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.3	Sim: 100/rg/sgscbn/a=-.5/.3
Simulated traits	f.sim_100_rg_sgscbn_a5_0.6_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.6	Sim: 100/rg/sgscbn/a=-.5/.6
Simulated traits	f.sim_100_rg_sgscan_0.3_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.3	Sim: 100/rg/sgscan/a=0/.3
Simulated traits	f.sim_100_rg_sgscan_0.6_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.6	Sim: 100/rg/sgscan/a=0/.6
Simulated traits	f.sim_100_rg_sgscan_a5_0.3_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.3	Sim: 100/rg/sgscan/a=-.5/.3
Simulated traits	f.sim_100_rg_sgscan_a5_0.6_qn	Simulation: 100 loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.6	Sim: 100/rg/sgscan/a=-.5/.6
Simulated traits	f.sim_100_cl_nt_0.3_qn	Simulation: 100 loci, clustered arch., no transf., alpha = 0, h2=0.3	Sim: 100/cl/nt/a=0/.3
Simulated traits	f.sim_100_cl_nt_0.6_qn	Simulation: 100 loci, clustered arch., no transf., alpha = 0, h2=0.6	Sim: 100/cl/nt/a=0/.6
Simulated traits	f.sim_100_cl_nt_a5_0.3_qn	Simulation: 100 loci, clustered arch., no transf., alpha = -0.5, h2=0.3	Sim: 100/cl/nt/a=-.5/.3
Simulated traits	f.sim_100_cl_nt_a5_0.6_qn	Simulation: 100 loci, clustered arch., no transf., alpha = -0.5, h2=0.6	Sim: 100/cl/nt/a=-.5/.6
Simulated traits	f.sim_100_cl_sgscbn_0.3_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 100/cl/sgscbn/a=0/.3
Simulated traits	f.sim_100_cl_sgscbn_0.6_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 100/cl/sgscbn/a=0/.6
Simulated traits	f.sim_100_cl_sgscbn_a5_0.3_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.3	Sim: 100/cl/sgscbn/a=-.5/.3
Simulated traits	f.sim_100_cl_sgscbn_a5_0.6_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.6	Sim: 100/cl/sgscbn/a=-.5/.6
Simulated traits	f.sim_100_cl_sgscan_0.3_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.3	Sim: 100/cl/sgscan/a=0/.3
Simulated traits	f.sim_100_cl_sgscan_0.6_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.6	Sim: 100/cl/sgscan/a=0/.6
Simulated traits	f.sim_100_cl_sgscan_a5_0.3_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.3	Sim: 100/cl/sgscan/a=-.5/.3
Simulated traits	f.sim_100_cl_sgscan_a5_0.6_qn	Simulation: 100 loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.6	Sim: 100/cl/sgscan/a=-.5/.6
Simulated traits	f.sim_1k_rg_nt_0.3_qn	Simulation: 1k loci, regular arch., no transf., alpha = 0, h2=0.3	Sim: 1k/rg/nt/a=0/.3
Simulated traits	f.sim_1k_rg_nt_0.6_qn	Simulation: 1k loci, regular arch., no transf., alpha = 0, h2=0.6	Sim: 1k/rg/nt/a=0/.6
Simulated traits	f.sim_1k_rg_nt_a5_0.3_qn	Simulation: 1k loci, regular arch., no transf., alpha = -0.5, h2=0.3	Sim: 1k/rg/nt/a=-.5/.3
Simulated traits	f.sim_1k_rg_nt_a5_0.6_qn	Simulation: 1k loci, regular arch., no transf., alpha = -0.5, h2=0.6	Sim: 1k/rg/nt/a=-.5/.6
Simulated traits	f.sim_1k_rg_sgscbn_0.3_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 1k/rg/sgscbn/a=0/.3
Simulated traits	f.sim_1k_rg_sgscbn_0.6_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 1k/rg/sgscbn/a=0/.6
Simulated traits	f.sim_1k_rg_sgscbn_a5_0.3_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.3	Sim: 1k/rg/sgscbn/a=-.5/.3
Simulated traits	f.sim_1k_rg_sgscbn_a5_0.6_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.6	Sim: 1k/rg/sgscbn/a=-.5/.6
Simulated traits	f.sim_1k_rg_sgscan_0.3_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.3	Sim: 1k/rg/sgscan/a=0/.3
Simulated traits	f.sim_1k_rg_sgscan_0.6_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.6	Sim: 1k/rg/sgscan/a=0/.6
Simulated traits	f.sim_1k_rg_sgscan_a5_0.3_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.3	Sim: 1k/rg/sgscan/a=-.5/.3
Simulated traits	f.sim_1k_rg_sgscan_a5_0.6_qn	Simulation: 1k loci, regular arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.6	Sim: 1k/rg/sgscan/a=-.5/.6
Simulated traits	f.sim_1k_cl_nt_0.3_qn	Simulation: 1k loci, clustered arch., no transf., alpha = 0, h2=0.3	Sim: 1k/cl/nt/a=0/.3
Simulated traits	f.sim_1k_cl_nt_0.6_qn	Simulation: 1k loci, clustered arch., no transf., alpha = 0, h2=0.6	Sim: 1k/cl/nt/a=0/.6
Simulated traits	f.sim_1k_cl_nt_a5_0.3_qn	Simulation: 1k loci, clustered arch., no transf., alpha = -0.5, h2=0.3	Sim: 1k/cl/nt/a=-.5/.3
Simulated traits	f.sim_1k_cl_nt_a5_0.6_qn	Simulation: 1k loci, clustered arch., no transf., alpha = -0.5, h2=0.6	Sim: 1k/cl/nt/a=-.5/.6
Simulated traits	f.sim_1k_cl_sgscbn_0.3_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.3	Sim: 1k/cl/sgscbn/a=0/.3
Simulated traits	f.sim_1k_cl_sgscbn_0.6_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = 0, h2=0.6	Sim: 1k/cl/sgscbn/a=0/.6
Simulated traits	f.sim_1k_cl_sgscbn_a5_0.3_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.3	Sim: 1k/cl/sgscbn/a=-.5/.3
Simulated traits	f.sim_1k_cl_sgscbn_a5_0.6_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. before add. noise, alpha = -0.5, h2=0.6	Sim: 1k/cl/sgscbn/a=-.5/.6
Simulated traits	f.sim_1k_cl_sgscan_0.3_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.3	Sim: 1k/cl/sgscan/a=0/.3
Simulated traits	f.sim_1k_cl_sgscan_0.6_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = 0, h2=0.6	Sim: 1k/cl/sgscan/a=0/.6
Simulated traits	f.sim_1k_cl_sgscan_a5_0.3_qn	Simulation: 1k loci, clustered arch., scaled sigmoid transf. after add. noise, alpha = -0.5, h2=0.3	Sim: 1k/cl/sgscan/a=-.5/.3
