category,field_id,ukb_id,description,ukb_units,OMOPID,phenostring,fg_units
Urine assays,f.30510_qn,30510,Creatinine in urine,micromole/L,3009508,"Creatinine [Moles/volume] in Urine [mmol/l], sample-wise median",mmol/l
Urine assays,f.30530_qn,30530,Sodium in urine,millimole/L,3003181,"Sodium [Moles/volume] in Urine [mmol/l], sample-wise median",mmol/l
Blood count,f.30000_qn,30000,White blood cell count,10^9 cells/Litre,3010813,"Leukocytes [#/volume] in Blood [e9/l], sample-wise median",e9/l
Blood count,f.30010_qn,30010,Red blood cell count,10^12 cells/Litre,3026361,"Erythrocytes [#/volume] in Blood [e12/l], sample-wise median",e12/l
Blood count,f.30020_qn,30020,Haemoglobin concentration,grams/decilitre,3000963,"Hemoglobin [Mass/volume] in Blood [g/l], sample-wise median",g/l
Blood count,f.30030_qn,30030,Haematocrit percentage,percent,3009542,"Hematocrit [Volume Fraction] of Blood [%], sample-wise median",%
Blood count,f.30040_qn,30040,Mean corpuscular volume,femtolitres,3024731,"MCV [Entitic volume] [fl], sample-wise median",fl
Blood count,f.30050_qn,30050,Mean corpuscular haemoglobin,picograms,3035941,"MCH [Entitic mass] [pg], sample-wise median",pg
Blood count,f.30060_qn,30060,Mean corpuscular haemoglobin concentration,grams/decilitre,3003338,"MCHC [Mass/volume] [g/l], sample-wise median",g/l
Blood count,f.30070_qn,30070,Red blood cell distribution width,percent,3002385,"Erythrocyte distribution width [Ratio] [%], sample-wise median",%
Blood count,f.30080_qn,30080,Platelet count,10^9 cells/Litre,3007461,"Platelets [#/volume] in Blood [e9/l], sample-wise median",e9/l
Blood count,f.30090_qn,30090,Platelet crit,percent,,,
Blood count,f.30100_qn,30100,Mean platelet volume,femtolitres,,,
Blood count,f.30110_qn,30110,Platelet distribution width,percent,,,
Blood count,f.30120_qn,30120,Lymphocyte count,10^9 cells/Litre,3019198,"Lymphocytes [#/volume] in Blood [e9/l], sample-wise median",e9/l
Blood count,f.30130_qn,30130,Monocyte count,10^9 cells/Litre,3001604,"Monocytes [#/volume] in Blood [e9/l], sample-wise median",e9/l
Blood count,f.30140_qn,30140,Neutrophil count,10^9 cells/Litre,3013650,"Neutrophils [#/volume] in Blood by Automated count [e9/l], sample-wise median",e9/l
Blood count,f.30150_qn,30150,Eosinophil count,10^9 cells/Litre,3013115,"Eosinophils [#/volume] in Blood [e9/l], sample-wise median",e9/l
Blood count,f.30180_qn,30180,Lymphocyte percentage,percent,3002030,"Lymphocytes/100 leukocytes in Blood [%], sample-wise median",%
Blood count,f.30190_qn,30190,Monocyte percentage,percent,3019069,"Monocytes/100 leukocytes in Blood [%], sample-wise median",%
